experiment,training_corpus,test_corpus,comparison,n_participants,n_pos,n_neg,model,feature_set,n_features,AUROC,AUROC_95CI,AUPRC,balanced_accuracy,bacc_95CI,sensitivity,sens_95CI,specificity,spec_95CI,F1,Brier
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,age_only,1,0.9348,"(0.826, 1.0)",0.8094,0.9227,"(0.79, 1.0)",0.8889,"(0.625, 1.0)",0.9565,"(0.857, 1.0)",0.8889,0.0624
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Dummy,age_only,1,0.4952,"(0.285, 0.684)",0.2793,0.4952,"(0.285, 0.684)",0.5556,"(0.2, 0.875)",0.4348,"(0.227, 0.636)",0.3704,0.5312
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Elastic-Net,v1_v2_age,22,0.9807,"(0.927, 1.0)",0.9536,0.8696,"(0.765, 0.96)",1.0,"(1.0, 1.0)",0.7391,"(0.529, 0.92)",0.75,0.1414
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Random Forest,v1_v2_age,22,0.9179,"(0.768, 1.0)",0.8737,0.8575,"(0.712, 0.966)",0.8889,"(0.625, 1.0)",0.8261,"(0.667, 0.957)",0.7619,0.1869
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,v1_v2_age,22,0.9469,"(0.842, 1.0)",0.8366,0.6111,"(0.5, 0.751)",0.2222,"(0.0, 0.501)",1.0,"(1.0, 1.0)",0.3636,0.1131
Cross-Corpus Eigsti->Nadig,Eigsti,Nadig,ASD vs TD,32,9,23,Dummy,v1_v2_age,22,0.4952,"(0.285, 0.684)",0.2793,0.4952,"(0.285, 0.684)",0.5556,"(0.2, 0.875)",0.4348,"(0.227, 0.636)",0.3704,0.5312
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Elastic-Net,V1_only,13,0.5586,"(0.341, 0.77)",0.5568,0.5,"(0.417, 0.583)",0.0625,"(0.0, 0.2)",0.9375,"(0.786, 1.0)",0.1111,0.392
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Random Forest,V1_only,13,0.4277,"(0.223, 0.639)",0.5475,0.5312,"(0.438, 0.636)",0.125,"(0.0, 0.316)",0.9375,"(0.786, 1.0)",0.2105,0.2711
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,HistGradientBoosting,V1_only,13,0.4023,"(0.199, 0.603)",0.4925,0.5312,"(0.438, 0.636)",0.125,"(0.0, 0.316)",0.9375,"(0.786, 1.0)",0.2105,0.4338
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Dummy,V1_only,13,0.5,"(0.357, 0.634)",0.5,0.5,"(0.357, 0.634)",0.1875,"(0.0, 0.4)",0.8125,"(0.588, 1.0)",0.2727,0.5
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Elastic-Net,V2_only,8,0.5547,"(0.346, 0.749)",0.6441,0.5938,"(0.474, 0.727)",0.25,"(0.062, 0.477)",0.9375,"(0.8, 1.0)",0.381,0.3662
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Random Forest,V2_only,8,0.6309,"(0.426, 0.804)",0.6653,0.5312,"(0.406, 0.656)",0.1875,"(0.0, 0.4)",0.875,"(0.7, 1.0)",0.2857,0.2536
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,HistGradientBoosting,V2_only,8,0.5215,"(0.306, 0.729)",0.5752,0.5,"(0.321, 0.686)",0.5625,"(0.3, 0.8)",0.4375,"(0.188, 0.692)",0.5294,0.4291
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Dummy,V2_only,8,0.5,"(0.357, 0.634)",0.5,0.5,"(0.357, 0.634)",0.1875,"(0.0, 0.4)",0.8125,"(0.588, 1.0)",0.2727,0.5
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Elastic-Net,V1_plus_V2,21,0.6016,"(0.377, 0.798)",0.6795,0.5625,"(0.5, 0.667)",0.125,"(0.0, 0.333)",1.0,"(1.0, 1.0)",0.2222,0.3616
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Random Forest,V1_plus_V2,21,0.5508,"(0.328, 0.742)",0.5952,0.5312,"(0.406, 0.656)",0.1875,"(0.0, 0.4)",0.875,"(0.7, 1.0)",0.2857,0.2491
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,HistGradientBoosting,V1_plus_V2,21,0.5391,"(0.336, 0.734)",0.5773,0.5312,"(0.406, 0.658)",0.1875,"(0.0, 0.412)",0.875,"(0.7, 1.0)",0.2857,0.4506
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Dummy,V1_plus_V2,21,0.5,"(0.357, 0.634)",0.5,0.5,"(0.357, 0.634)",0.1875,"(0.0, 0.4)",0.8125,"(0.588, 1.0)",0.2727,0.5
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Elastic-Net,age_only,1,0.8828,"(0.723, 0.984)",0.915,0.8125,"(0.663, 0.938)",0.875,"(0.667, 1.0)",0.75,"(0.526, 0.941)",0.8235,0.1516
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Random Forest,age_only,1,0.873,"(0.719, 0.976)",0.8838,0.6562,"(0.498, 0.81)",0.875,"(0.667, 1.0)",0.4375,"(0.2, 0.692)",0.7179,0.2049
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,HistGradientBoosting,age_only,1,0.7715,"(0.592, 0.918)",0.7996,0.7188,"(0.549, 0.87)",0.625,"(0.375, 0.846)",0.8125,"(0.583, 1.0)",0.6897,0.2282
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Dummy,age_only,1,0.5,"(0.357, 0.634)",0.5,0.5,"(0.357, 0.634)",0.1875,"(0.0, 0.4)",0.8125,"(0.588, 1.0)",0.2727,0.5
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Elastic-Net,v1_v2_age,22,0.6094,"(0.405, 0.804)",0.6887,0.625,"(0.531, 0.736)",0.25,"(0.062, 0.471)",1.0,"(1.0, 1.0)",0.4,0.3594
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Random Forest,v1_v2_age,22,0.7773,"(0.597, 0.922)",0.7833,0.7188,"(0.561, 0.856)",0.625,"(0.375, 0.867)",0.8125,"(0.588, 1.0)",0.6897,0.2034
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,HistGradientBoosting,v1_v2_age,22,0.7656,"(0.586, 0.923)",0.7988,0.6562,"(0.498, 0.81)",0.875,"(0.667, 1.0)",0.4375,"(0.2, 0.692)",0.7179,0.3428
Cross-Corpus Nadig->Eigsti,Nadig,Eigsti,ASD vs TD,32,16,16,Dummy,v1_v2_age,22,0.5,"(0.357, 0.634)",0.5,0.5,"(0.357, 0.634)",0.1875,"(0.0, 0.4)",0.8125,"(0.588, 1.0)",0.2727,0.5
