experiment,training_corpus,test_corpus,comparison,n_participants,n_pos,n_neg,model,feature_set,n_features,AUROC,AUROC_95CI,AUPRC,balanced_accuracy,bacc_95CI,sensitivity,sens_95CI,specificity,spec_95CI,F1,Brier
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,V1_only,13,0.3306,"(0.116, 0.53)",0.2443,0.4372,"(0.329, 0.546)",0.2222,"(0.04, 0.44)",0.6522,"(0.528, 0.754)",0.2105,0.4475
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Dummy,V1_only,13,0.4773,"(0.387, 0.564)",0.2729,0.4773,"(0.387, 0.564)",0.3111,"(0.2, 0.429)",0.6435,"(0.5, 0.774)",0.28,0.45
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Elastic-Net,V2_only,8,0.6158,"(0.355, 0.868)",0.4933,0.7087,"(0.556, 0.868)",0.6,"(0.3, 0.886)",0.8174,"(0.682, 0.93)",0.5806,0.2238
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Random Forest,V2_only,8,0.7737,"(0.569, 0.931)",0.6217,0.6778,"(0.492, 0.857)",0.5556,"(0.222, 0.875)",0.8,"(0.65, 0.922)",0.5376,0.1735
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,V2_only,8,0.7506,"(0.565, 0.9)",0.5372,0.6647,"(0.521, 0.81)",0.5556,"(0.3, 0.8)",0.7739,"(0.629, 0.878)",0.5208,0.2629
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Dummy,V2_only,8,0.4773,"(0.387, 0.564)",0.2729,0.4773,"(0.387, 0.564)",0.3111,"(0.2, 0.429)",0.6435,"(0.5, 0.774)",0.28,0.45
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Elastic-Net,V1_plus_V2,21,0.481,"(0.263, 0.704)",0.3506,0.5362,"(0.391, 0.688)",0.3333,"(0.067, 0.629)",0.7391,"(0.629, 0.85)",0.3333,0.2733
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Random Forest,V1_plus_V2,21,0.6228,"(0.406, 0.823)",0.4831,0.5671,"(0.421, 0.717)",0.3778,"(0.114, 0.657)",0.7565,"(0.6, 0.88)",0.3778,0.213
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,V1_plus_V2,21,0.7168,"(0.527, 0.872)",0.5104,0.5957,"(0.458, 0.713)",0.4,"(0.16, 0.62)",0.7913,"(0.669, 0.886)",0.4138,0.3006
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Dummy,V1_plus_V2,21,0.4773,"(0.387, 0.564)",0.2729,0.4773,"(0.387, 0.564)",0.3111,"(0.2, 0.429)",0.6435,"(0.5, 0.774)",0.28,0.45
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Elastic-Net,age_only,1,0.9782,"(0.927, 1.0)",0.9533,0.9227,"(0.79, 1.0)",0.8889,"(0.625, 1.0)",0.9565,"(0.857, 1.0)",0.8889,0.0656
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Random Forest,age_only,1,0.9258,"(0.815, 1.0)",0.8021,0.8879,"(0.75, 0.986)",0.8889,"(0.625, 1.0)",0.887,"(0.737, 1.0)",0.8163,0.0911
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,age_only,1,0.9346,"(0.835, 0.996)",0.8818,0.8324,"(0.662, 0.965)",0.7778,"(0.444, 1.0)",0.887,"(0.737, 1.0)",0.7527,0.1407
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Dummy,age_only,1,0.4773,"(0.387, 0.564)",0.2729,0.4773,"(0.387, 0.564)",0.3111,"(0.2, 0.429)",0.6435,"(0.5, 0.774)",0.28,0.45
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Elastic-Net,v1_v2_age,22,0.8916,"(0.745, 0.998)",0.8797,0.8918,"(0.754, 0.989)",0.8444,"(0.571, 1.0)",0.9391,"(0.838, 1.0)",0.8444,0.0886
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Random Forest,v1_v2_age,22,0.8792,"(0.747, 0.971)",0.7768,0.7749,"(0.636, 0.9)",0.6889,"(0.42, 0.925)",0.8609,"(0.748, 0.95)",0.6739,0.1367
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,HistGradientBoosting,v1_v2_age,22,0.8988,"(0.778, 0.985)",0.7182,0.8609,"(0.741, 0.954)",0.8,"(0.55, 0.967)",0.9217,"(0.838, 0.983)",0.8,0.1136
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,9,23,Dummy,v1_v2_age,22,0.4773,"(0.387, 0.564)",0.2729,0.4773,"(0.387, 0.564)",0.3111,"(0.2, 0.429)",0.6435,"(0.5, 0.774)",0.28,0.45
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Elastic-Net,V1_only,13,0.773,"(0.611, 0.903)",0.7809,0.6812,"(0.54, 0.808)",0.7,"(0.514, 0.883)",0.6625,"(0.45, 0.842)",0.6871,0.2006
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Random Forest,V1_only,13,0.7182,"(0.537, 0.872)",0.7084,0.6625,"(0.512, 0.802)",0.7,"(0.5, 0.88)",0.625,"(0.412, 0.829)",0.6747,0.214
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,HistGradientBoosting,V1_only,13,0.7197,"(0.549, 0.861)",0.6919,0.625,"(0.487, 0.763)",0.575,"(0.387, 0.757)",0.675,"(0.467, 0.863)",0.6053,0.344
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Dummy,V1_only,13,0.4375,"(0.33, 0.555)",0.4727,0.4375,"(0.33, 0.555)",0.4375,"(0.267, 0.614)",0.4375,"(0.307, 0.6)",0.4375,0.5625
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Elastic-Net,V2_only,8,0.4749,"(0.315, 0.651)",0.4889,0.5125,"(0.367, 0.655)",0.3625,"(0.183, 0.56)",0.6625,"(0.45, 0.878)",0.4265,0.3032
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Random Forest,V2_only,8,0.5819,"(0.39, 0.786)",0.5078,0.5813,"(0.451, 0.724)",0.6625,"(0.511, 0.8)",0.5,"(0.3, 0.747)",0.6127,0.2618
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,HistGradientBoosting,V2_only,8,0.6621,"(0.488, 0.824)",0.6134,0.6062,"(0.471, 0.741)",0.625,"(0.415, 0.8)",0.5875,"(0.414, 0.767)",0.6135,0.3495
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Dummy,V2_only,8,0.4375,"(0.33, 0.555)",0.4727,0.4375,"(0.33, 0.555)",0.4375,"(0.267, 0.614)",0.4375,"(0.307, 0.6)",0.4375,0.5625
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Elastic-Net,V1_plus_V2,21,0.6687,"(0.5, 0.826)",0.6547,0.6125,"(0.474, 0.745)",0.6375,"(0.457, 0.814)",0.5875,"(0.386, 0.775)",0.622,0.2614
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Random Forest,V1_plus_V2,21,0.6944,"(0.519, 0.858)",0.675,0.6375,"(0.485, 0.789)",0.6875,"(0.478, 0.877)",0.5875,"(0.362, 0.813)",0.6548,0.2242
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,HistGradientBoosting,V1_plus_V2,21,0.7352,"(0.561, 0.885)",0.6812,0.6813,"(0.547, 0.808)",0.6875,"(0.533, 0.835)",0.675,"(0.467, 0.862)",0.6832,0.3097
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Dummy,V1_plus_V2,21,0.4375,"(0.33, 0.555)",0.4727,0.4375,"(0.33, 0.555)",0.4375,"(0.267, 0.614)",0.4375,"(0.307, 0.6)",0.4375,0.5625
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Elastic-Net,age_only,1,0.4164,"(0.304, 0.535)",0.4426,0.4625,"(0.37, 0.565)",0.3875,"(0.267, 0.537)",0.5375,"(0.4, 0.694)",0.4189,0.2604
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs DD,32,16,16,Random Forest,age_only,1,0.4148,"(0.264, 0.575)",0.4482,0.4062,"(0.275, 0.548)",0.4375,"(0.277, 0.6)",0.375,"(0.167, 0.6)",0.4242,0.3506
