threshold,sensitivity,specificity,precision,f1,balanced_accuracy,true_positives,false_positives,true_negatives,false_negatives
0.2,0.9625,0.05,0.5033,0.6609,0.5062,77,76,4,3
0.3,0.925,0.125,0.5139,0.6607,0.525,74,70,10,6
0.4,0.775,0.325,0.5345,0.6327,0.55,62,54,26,18
0.5,0.5625,0.5625,0.5625,0.5625,0.5625,45,35,45,35
0.6,0.3,0.675,0.48,0.3692,0.4875,24,26,54,56
0.7,0.1375,0.8625,0.5,0.2157,0.5,11,11,69,69
0.8,0.025,0.9875,0.6667,0.0482,0.5062,2,1,79,78
